ARG_PAIS_CO,ARG_PAIS_NOME
203,"Brasil"
208,"Chile"
423,"Paises Bajos"
113,"Egipto"
141,"Tunez"
159,"Sudafrica"
205,"Colombia"
210,"Ecuador"
222,"Peru"
225,"Uruguay"
309,"Corea, Republica de"
315,"India"
318,"Iran"
326,"Malasia"
444,"Rusia Federacion de"
125,"Malawi"
144,"Zambia"
149,"Angola"
206,"Costa Rica"
215,"Haiti"
220,"Panama"
224,"Trinidad Y Tobago"
232,"Suriname"
438,"Republica Federal de Alemania"
441,"Letonia"
212,"Estados Unidos"
147,"Territorios Vinculados a Francia"
410,"Espana"
417,"Italia"
122,"Liberia"
128,"Mauricio"
207,"Cuba"
325,"Libano"
328,"Oman"
335,"Tailandia"
406,"Belgica"
407,"Bulgaria"
409,"Dinamarca"
412,"Francia"
413,"Grecia"
425,"Portugal"
427,"Rumania"
429,"Suecia"
124,"Madagascar"
226,"Venezuela"
332,"Paquistan"
345,"Bangladesh"
108,"Congo"
321,"Jordania"
348,"Republica de Yemen"
341,"Hong Kong Region Administrativa Especial de (China)"
436,"Turquia"
319,"Israel"
320,"Japon"
102,"Argelia"
127,"Marruecos"
424,"Polonia"
435,"Chipre"
218,"Mexico"
310,"China"
139,"Tanzania, Republica Unida de"
151,"Mozambique"
209,"Republica Dominicana"
213,"Guatemala"
337,"Viet Nam"
442,"Lituania"
223,"Puerto Rico (Estado Asociado)"
334,"Siria"
426,"Reino Unido"
312,"Filipinas"
415,"Irlanda"
501,"Australia"
512,"Fiji"
443,"Moldavia, Republica de"
131,"Nigeria"
316,"Indonesia"
331,"Emiratos Arabes Unidos"
204,"Canada"
201,"Barbados"
216,"Honduras"
230,"Territorios Holandeses"
430,"Suiza"
211,"El Salvador"
313,"Taiwan"
350,"Azerbaiyan"
120,"Kenya"
134,"Senegal"
217,"Jamaica"
349,"Armenia"
354,"Tayikistan"
401,"Albania"
129,"Mauritania"
302,"Arabia Saudita"
452,"Federacion Serbia Y Montenegro"
221,"Paraguay"
301,"Afganistan"
449,"Eslovenia"
105,"Camerun"
440,"Estonia"
132,"Zimbabwe"
137,"Swazilandia"
156,"Guinea Bissau"
241,"Antillas Holandesas (territorio vinculado a Paises Bajos)"
317,"Iraq"
329,"Mongolia"
116,"Gambia"
110,"Cote d' Ivoire (Costa de Marfil)"
330,"Nepal"
219,"Nicaragua"
447,"Croacia"
115,"Gabon"
240,"Granada"
214,"Guyana"
158,"Namibia"
504,"Nueva Zelandia"
112,"Benin"
117,"Ghana"
420,"Malta"
111,"Chad"
118,"Guinea"
422,"Noruega"
333,"Singapur"
119,"Guinea Ecuatorial"
140,"Togo"
357,"Palestina"
123,"Libia Jamahiriya Arabe"
153,"Djibouti"
202,"Bolivia"
280,"Colonia (Uruguay)"
104,"Burundi"
121,"Lesotho"
351,"Georgia"
237,"Antigua Y Barbuda"
242,"Aruba"
101,"Burkina Faso"
150,"Cabo Verde"
233,"Dominica"
227,"Territorios vinculados al Reino Unido de Gran Bretana e Irlanda del No"
138,"Sudan (hasta ano 2011)"
109,"Rep. Democratica del Congo (ex Zaire)"
520,"Islas Marshall"
450,"Macedonia (ex Republica Yugoslava de)"
304,"Myanmar"
133,"Rwanda"
323,"Kuwait"
234,"Santa Lucia"
235,"San Vicente Y Las Granadinas"
405,"Austria"
445,"Ucrania"
161,"Etiopia"
260,"Iquique (Chile)"
411,"Finlandia"
353,"Kirguistan"
346,"Brunei Darussalam"
160,"Eritrea"
433,"Territorios vinculados al Reino Unido de Gran Bretana e Irlanda del No"
356,"Uzbekistan"
439,"Belarus"
126,"Mali"
322,"Qatar"
244,"Curazao"
285,"Nueva Palmira (Uruguay)"
414,"Hungria"
352,"Kazajstan"
245,"San Martin (Parte holandesa)"
142,"Uganda"
