Substituir ;Por
CYExp.toU.S.;CYExptortstoUS
CYImp.fromU.S.;CYImportsfromUS
Extr.Rate;ExtrRate
FeedWasteDom.Cons.;FeedWasteDomCons
FoodUseDom.Cons.;FoodUseDomCons
IndustrialDom.Cons.;IndustrialDomCons
MYExp.toEU;MYExptortstoEU
MYImp.fromEU;MYImportsfromEU
MYImp.fromU.S.;MYImportsfromUS
TYImp.fromU.S.;TYImpfromUS
TotalDom.Cons.;TotalDomCons
CYExp,toU,S,;CYExptortstoUS
CYImp,fromU,S,;CYImportsfromUS
Extr,Rate;ExtrRate
FeedWasteDom,Cons,;FeedWasteDomCons
FoodUseDom,Cons,;FoodUseDomCons
IndustrialDom,Cons,;IndustrialDomCons
MYExp,toEU;MYExptortstoEU
MYImp,fromEU;MYImportsfromEU
MYImp,fromU,S,;MYImportsfromUS
TYImp,fromU,S,;TYImpfromUS
TotalDom,Cons,;TotalDomCons
CÓDIGO DATAGRO;Code
